ELPH_experiment
Run NumEventsNalval NumEventsVME Gas   BeamHeight EField VGEM AGETGain(fC) TriggerDelay Frequency
t   i               i            s     d          d      d    d            i            i
98  8579            8562         P10   50.24      155    345  240          2600         25
101 6707            6730         P10   50.24      145    345  240          2600         25
103 8211            8238         P10   50.24      135    345  240          2600         25
104 8291            8297         P10   50.24      125    345  240          2600         25
105 8372            8427         P10   50.24      115    345  240          2600         25
107 9902            9825         P10   35.24      115    345  240          2600         25
108 8284            8175         P10   35.24      125    345  240          2600         25
110 8116            8040         P10   35.24      135    345  240          2600         25
112 8253            8197         P10   35.24      145    345  240          2600         25
113 8180            8185         P10   35.24      155    345  240          2600         25
115 9370            9205         P10   20.24      115    345  240          2600         25
116 8200            8237         P10   20.24      125    345  240          2600         25
117 8894            8675         P10   20.24      135    345  240          2600         25
120 2167            2125         P10   20.24      145    345  240          2600         25
121 8222            8115         P10   20.24      155    345  240          2600         25
129 18119           18114        ArCO2 20.24      170    310  240          3600         10
130 21787           21578        ArCO2 20.24      170    320  240          3600         10
131 20336           20228        ArCO2 20.24      170    330  240          3600         10
134 12033           12011        ArCO2 20.24      170    330  1000         3600         10
135 20174           20067        ArCO2 20.24      170    340  1000         3600         10
136 9916            9851         ArCO2 20.24      170    345  1000         3600         10
137 9968            9882         ArCO2 20.24      170    345  10000        3600         10
138 557             524          ArCO2 35.24      170    340  1000         3600         10
139 10153           10114        ArCO2 35.24      170    340  1000         5600         10
140 13304           13221        ArCO2 50.24      170    340  1000         7000         10
