38.154 -100 71.895  -0.0516381 0.993293 0.103454  
47.3944 -100 53.5967  0.0496288 0.997964 0.0400664  
60.7976 -100 148.839  0.0208465 0.999556 0.0212803  
24.2119 -100 101.168  0.034794 0.999224 -0.0184634  
68.7646 -100 119.89  -0.0495508 0.996882 0.0614103  
57.3591 -100 89.1129  0.0286732 0.996979 0.0721781  
28.3294 -100 65.0203  -0.0027818 0.999793 0.0201478  
59.41 -100 118.383  0.0428141 0.997941 0.0477653  
77.1138 -100 50.58  -0.0424368 0.998909 0.0195067  
69.5947 -100 96.4223  0.0267953 0.996103 0.0840341  
29.2718 -100 84.243  -0.0438058 0.9982 0.0409514  
69.1749 -100 127.165  -0.039577 0.998658 0.0334169  
57.2488 -100 58.7031  -0.0621937 0.990981 0.118698  
46.4047 -100 71.1821  -0.0556085 0.995314 0.0791091  
43.7821 -100 74.9259  0.0251391 0.994374 0.1029  
9.95737 -100 102.191  0.00818149 0.999922 -0.00940676  
87.405 -100 119.982  0.0255874 0.999616 0.010664  
72.5942 -100 97.3561  -0.0386144 0.9989 -0.0266144  
102.397 -100 149.427  0.00147719 0.999649 0.0264613  
20.4727 -100 74.9084  -0.00383583 0.998986 0.0448567  
70.1989 -100 105.234  -0.0684877 0.997566 -0.0130922  
78.2667 -100 111.783  -0.0587471 0.997609 -0.0364134  
62.6511 -100 57.1514  -0.0561154 0.996189 0.0667738  
21.7998 -100 148.321  0.0748645 0.997029 0.0181141  
72.5773 -100 57.6472  -0.0456822 0.998954 0.0018341  
54.987 -100 116.26  -0.00761355 0.996833 0.0791576  
68.4777 -100 98.1462  -0.0209559 0.997977 0.060022  
59.2255 -100 108.6  -0.100677 0.994678 -0.0219144  
86.5621 -100 75.5164  -0.0451894 0.998767 -0.0205715  
15.4428 -100 98.7986  0.0450458 0.998821 -0.0181089  
53.9 -100 86.8899  -0.0211079 0.999744 0.0082156  
49.3188 -100 134.576  -0.114349 0.993441 0.000173131  
50.0758 -100 101.036  -0.0876382 0.991025 0.10094  
36.7199 -100 108.44  0.0226865 0.996885 -0.0755334  
84.5686 -100 127.87  -0.0385815 0.993183 -0.109994  
62.8131 -100 103.947  -0.114366 0.992825 -0.0349174  
38.9633 -100 103.754  -0.0246424 0.999486 0.0205153  
19.1633 -100 93.1675  0.000408642 0.999166 0.0408263  
61.3679 -100 124.451  -0.073378 0.99304 -0.0921282  
65.8605 -100 132.325  -0.0843192 0.996361 0.0124338  
22.0972 -100 124.528  0.0454968 0.997137 0.0603976  
36.4875 -100 111.839  0.022223 0.996968 -0.0745681  
70.7994 -100 111.845  -0.047277 0.998879 -0.00231432  
69.1495 -100 79.7991  -0.11988 0.992744 -0.00937009  
42.5183 -100 142.512  -0.0143009 0.999343 -0.033312  
74.2226 -100 73.9786  -0.0397991 0.991853 0.121011  
59.9408 -100 98.7775  0.0234791 0.99764 -0.0645282  
30.206 -100 76.6282  0.0802726 0.99195 0.0979323  
17.679 -100 76.7562  -0.0225742 0.992591 0.119385  
26.3139 -100 94.2521  0.0596507 0.992045 0.110849  
83.0487 -100 129.397  -0.0497539 0.997439 0.0513776  
65.1446 -100 87.5238  -0.00894265 0.999766 -0.0196883  
23.6067 -100 127.322  0.0741479 0.996417 0.0406883  
55.3949 -100 81.2444  0.0154383 0.9928 0.118786  
22.6843 -100 114.051  0.0846398 0.994878 -0.0552649  
26.7106 -100 147.948  0.0437041 0.998703 -0.02612  
37.4323 -100 64.2913  -0.024568 0.999628 0.0118101  
44.8653 -100 74.7493  0.0168269 0.989735 0.141923  
59.8215 -100 76.9264  -0.0478709 0.997417 0.0535574  
43.7976 -100 98.1205  0.0473524 0.998749 -0.0160717  
26.6207 -100 97.5132  0.108747 0.99405 0.00624916  
66.4774 -100 64.4045  0.0434214 0.993879 0.101582  
21.7306 -100 150.451  0.00733084 0.999973 -0.00067637  
8.92668 -100 82.0675  0.06836 0.994663 0.077277  
40.1488 -100 52.6868  -0.0963632 0.990464 0.0984669  
49.0631 -100 157.552  -0.0627475 0.998005 0.00697319  
